"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","stateProvince","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","gadm.level0.gid","gadm.level0.name","gadm.level1.gid","gadm.level1.name","gadm.level2.gid","gadm.level2.name","gadm.level3.gid","gadm.level3.name","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","recordedBy","catalogNumber","vernacularName","institutionCode","county","locality","collectionCode","gbifID","occurrenceID","name","gadm","coordinateUncertaintyInMeters","eventID","taxonConceptID","identifiedBy","dateIdentified","modified","references","rightsHolder","informationWithheld","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","taxonID","http...unknown.org.occurrenceDetails","rights","eventTime","identificationID","continent","higherClassification","lifeStage","occurrenceRemarks","nomenclaturalCode","fieldNotes","verbatimElevation","behavior","associatedTaxa","identifiedByIDs.type","identifiedByIDs.value","recordedByIDs.type","recordedByIDs.value","recordNumber","samplingProtocol","infraspecificEpithet","dataGeneralizations"
"1","1711974897","Fratercula arctica (Linnaeus, 1758)",55.5475,-4.68503,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:38:45.973+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","Scotland",2016,1,25,"2016-01-25T00:00:00","2020-09-08T21:38:45.973+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.3_1","Scotland","GBR.3.28_1","South Ayrshire","GBR.3.28.1_1","South Ayrshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS368582622","obsr352263","OBS368582622","Atlantic Puffin","CLO","South Ayrshire","Troon--Harbour and Ballast Bank","EBIRD","1711974897","URN:catalog:CLO:EBIRD:OBS368582622","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2228469870","Fratercula arctica (Linnaeus, 1758)",49.9596,-5.20627,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:08:38.189+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,1,1,"2016-01-01T00:00:00","2020-09-08T21:08:38.189+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.20_1","Cornwall","GBR.1.20.1_1","Cornwall","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS702277960","obsr1192689","OBS702277960","Atlantic Puffin","CLO","Cornwall","The Lizard","EBIRD","2228469870","URN:catalog:CLO:EBIRD:OBS702277960","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2724566081","Fratercula arctica (Linnaeus, 1758)",54.9671,-1.36271,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:11:52.921+0000",13,"none","HUMAN_OBSERVATION",3,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,1,31,"2016-01-31T00:00:00","2020-09-08T21:11:52.921+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.89_1","South Tyneside","GBR.1.89.1_1","South Tyneside","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS894194033","obsr1606516","OBS894194033","Atlantic Puffin","CLO","Tyne and Wear","Whitburn Coastal Park","EBIRD","2724566081","URN:catalog:CLO:EBIRD:OBS894194033","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2793918076","Fratercula arctica (Linnaeus, 1758)",54.9671,-1.36271,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:29:32.235+0000",13,"none","HUMAN_OBSERVATION",2,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,1,17,"2016-01-17T00:00:00","2020-09-08T21:29:32.235+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.89_1","South Tyneside","GBR.1.89.1_1","South Tyneside","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS893800957","obsr1606516","OBS893800957","Atlantic Puffin","CLO","Tyne and Wear","Whitburn Coastal Park","EBIRD","2793918076","URN:catalog:CLO:EBIRD:OBS893800957","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2796476269","Fratercula arctica (Linnaeus, 1758)",52.9996,0.852271,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:25:30.359+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,1,19,"2016-01-19T00:00:00","2020-09-08T21:25:30.359+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",NA,NA,NA,NA,NA,NA,NA,NA,"WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS854531324","obsr676750","OBS854531324","Atlantic Puffin","CLO","Norfolk","Offshore - Wells-next-the-sea","EBIRD","2796476269","URN:catalog:CLO:EBIRD:OBS854531324","Fratercula arctica (Linnaeus, 1758)","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2725156870","Fratercula arctica (Linnaeus, 1758)",54.9671,-1.36271,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:18:07.849+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,2,14,"2016-02-14T00:00:00","2020-09-08T21:18:07.849+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.89_1","South Tyneside","GBR.1.89.1_1","South Tyneside","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS894195632","obsr1606516","OBS894195632","Atlantic Puffin","CLO","Tyne and Wear","Whitburn Coastal Park","EBIRD","2725156870","URN:catalog:CLO:EBIRD:OBS894195632","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1724212199","Fratercula arctica (Linnaeus, 1758)",54.147,-0.169066,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:05:29.685+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,3,28,"2016-03-28T00:00:00","2020-09-08T21:05:29.685+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS386768087","obsr429584","OBS386768087","Atlantic Puffin","CLO","East Riding of Yorkshire","Bempton Cliffs RSPB Reserve--Bird Feeding Area","EBIRD","1724212199","URN:catalog:CLO:EBIRD:OBS386768087","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1767717908","Fratercula arctica (Linnaeus, 1758)",54.1477,-0.167413,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:05:56.658+0000",13,"none","HUMAN_OBSERVATION",NA,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,3,20,"2016-03-20T00:00:00","2020-09-08T21:05:56.658+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS436730542","obsr679476","OBS436730542","Atlantic Puffin","CLO","East Riding of Yorkshire","Bempton Cliffs RSPB Reserve","EBIRD","1767717908","URN:catalog:CLO:EBIRD:OBS436730542","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1791032824","Fratercula arctica (Linnaeus, 1758)",57.1398,-2.0514,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:40:48.094+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","Scotland",2016,3,23,"2016-03-23T00:00:00","2020-09-08T21:40:48.094+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.3_1","Scotland","GBR.3.1_1","Aberdeen","GBR.3.1.1_1","Aberdeen","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS519295259","obsr935808","OBS519295259","Atlantic Puffin","CLO","Aberdeen","Girdleness","EBIRD","1791032824","URN:catalog:CLO:EBIRD:OBS519295259","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2768892981","Fratercula arctica (Linnaeus, 1758)",55.6167,-1.71983,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:18:15.583+0000",13,"none","HUMAN_OBSERVATION",NA,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,3,25,"2016-03-25T00:00:00","2020-09-08T21:18:15.583+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",NA,NA,NA,NA,NA,NA,NA,NA,"WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS883230130","obsr819844","OBS883230130","Atlantic Puffin","CLO","Northumberland","Stag Rock","EBIRD","2768892981","URN:catalog:CLO:EBIRD:OBS883230130","Fratercula arctica (Linnaeus, 1758)","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1725578454","Fratercula arctica (Linnaeus, 1758)",59.8601,-1.27643,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:06:25.579+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","Scotland",2016,4,4,"2016-04-04T00:00:00","2020-09-08T21:06:25.579+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.3_1","Scotland","GBR.3.27_1","Shetland Islands","GBR.3.27.1_1","Shetland Islands","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS388701584","obsr653089","OBS388701584","Atlantic Puffin","CLO","Shetland Islands","Sumburgh Head RSPB Reserve","EBIRD","1725578454","URN:catalog:CLO:EBIRD:OBS388701584","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1726374913","Fratercula arctica (Linnaeus, 1758)",60.5949,-0.884355,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:14:34.783+0000",13,"none","HUMAN_OBSERVATION",2,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","Scotland",2016,4,9,"2016-04-09T00:00:00","2020-09-08T21:14:34.783+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.3_1","Scotland","GBR.3.27_1","Shetland Islands","GBR.3.27.1_1","Shetland Islands","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS389615434","obsr653089","OBS389615434","Atlantic Puffin","CLO","Shetland Islands","Fetlar - 60.595x-0.884 ","EBIRD","1726374913","URN:catalog:CLO:EBIRD:OBS389615434","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1726614205","Fratercula arctica (Linnaeus, 1758)",54.1477,-0.167413,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:39:08.395+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,4,10,"2016-04-10T00:00:00","2020-09-08T21:39:08.395+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS390059039","obsr673609","OBS390059039","Atlantic Puffin","CLO","East Riding of Yorkshire","Bempton Cliffs RSPB Reserve","EBIRD","1726614205","URN:catalog:CLO:EBIRD:OBS390059039","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1727144250","Fratercula arctica (Linnaeus, 1758)",59.9714,-1.34784,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:05:51.347+0000",13,"none","HUMAN_OBSERVATION",16,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","Scotland",2016,4,11,"2016-04-11T00:00:00","2020-09-08T21:05:51.347+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.3_1","Scotland","GBR.3.27_1","Shetland Islands","GBR.3.27.1_1","Shetland Islands","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS390511042","obsr653089","OBS390511042","Atlantic Puffin","CLO","Shetland Islands","St Ninian's Isle","EBIRD","1727144250","URN:catalog:CLO:EBIRD:OBS390511042","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1729455859","Fratercula arctica (Linnaeus, 1758)",54.1477,-0.167413,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:16:36.473+0000",13,"none","HUMAN_OBSERVATION",22,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,4,21,"2016-04-21T00:00:00","2020-09-08T21:16:36.473+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS393594044","obsr667223","OBS393594044","Atlantic Puffin","CLO","East Riding of Yorkshire","Bempton Cliffs RSPB Reserve","EBIRD","1729455859","URN:catalog:CLO:EBIRD:OBS393594044","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1729483369","Fratercula arctica (Linnaeus, 1758)",54.1168,-0.077527,"cdround","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:13:19.439+0000",13,"none","HUMAN_OBSERVATION",4,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,4,21,"2016-04-21T00:00:00","2020-09-08T21:13:19.439+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS393599127","obsr673609","OBS393599127","Atlantic Puffin","CLO","East Riding of Yorkshire","Flamborough Head","EBIRD","1729483369","URN:catalog:CLO:EBIRD:OBS393599127","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1729485642","Fratercula arctica (Linnaeus, 1758)",54.1168,-0.077527,"cdround","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:13:09.287+0000",13,"none","HUMAN_OBSERVATION",4,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,4,21,"2016-04-21T00:00:00","2020-09-08T21:13:09.287+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.31_1","East Riding of Yorkshire","GBR.1.31.1_1","East Riding of Yorkshire","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS393599798","obsr667223","OBS393599798","Atlantic Puffin","CLO","East Riding of Yorkshire","Flamborough Head","EBIRD","1729485642","URN:catalog:CLO:EBIRD:OBS393599798","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1729519971","Fratercula arctica (Linnaeus, 1758)",54.509,-3.63291,"","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","e2e717bf-551a-4917-bdc9-4fa0f342c530","7182d304-b0a2-404b-baba-2086a325c221","GB","DWC_ARCHIVE","2020-06-30T08:20:54.124+0000","2020-09-08T21:14:03.368+0000",13,"none","HUMAN_OBSERVATION",1,"PRESENT",2481353,1,44,212,7192402,2985,2481352,2481353,2481353,"Fratercula arctica (Linnaeus, 1758)","Animalia","Chordata","Charadriiformes","Alcidae","Fratercula","Fratercula arctica","Fratercula","arctica","SPECIES","ACCEPTED","England",2016,4,21,"2016-04-21T00:00:00","2020-09-08T21:14:03.368+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","GBR","United Kingdom","GBR.1_1","England","GBR.1.22_1","Cumbria","GBR.1.22.4_1","Copeland","WGS84","Aves","GB","none","none","United Kingdom of Great Britain and Northern Ireland","OBS393482954","obsr358384","OBS393482954","Atlantic Puffin","CLO","Cumbria","St Bees Head RSPB Reserve","EBIRD","1729519971","URN:catalog:CLO:EBIRD:OBS393482954","Fratercula arctica (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
